merchant_city,merchant_state,jumlah_transaksi,total_volume
Havelock,NC,121,5601.72
Lonoke,AR,121,9429.11
"North Royalton",OH,121,2761.45
"O Fallon",IL,121,6283.66
"Pearl City",HI,121,15775.74
Punxsutawney,PA,121,2659.36
"Rock Hall",MD,121,11180.84
Rosedale,NY,121,7381.14
Roslindale,MA,121,8952.04
"Santa Monica",CA,121,7101.37
Tuscumbia,AL,121,3030.57
Gallatin,TN,121,11186.95
"Grass Lake",MI,121,3098.27
Brownsburg,IN,120,4950.46
"Grand Junction",TN,120,3753.60
Guilford,ME,120,6919.10
Jackson,LA,120,5843.82
Kenton,TN,120,6538.97
Lucas,IA,120,5860.00
Peever,SD,120,4824.27
Rocklin,CA,120,3954.84
Rosemount,MN,120,7060.80
"Santa Clara",CA,120,13953.90
Ridgefield,CT,119,4483.83
Seymour,WI,119,2716.77
Alice,TX,119,3701.86
Coats,NC,119,1300.32
Homosassa,FL,119,11801.57
Petaluma,CA,119,7447.60
"Johnston City",IL,118,5384.28
Maryville,TN,118,4717.66
Mediapolis,IA,118,2728.05
"Mercer Island",WA,118,3375.68
"Newton Falls",OH,118,3986.82
Orleans,VT,118,2316.36
Patterson,MO,118,4852.27
Placerville,CA,118,8269.90
"Saint Marks",FL,118,3105.69
"Toms River",NJ,118,6766.43
Victor,NY,118,1874.54
Algodones,NM,118,1387.58
Amelia,OH,117,5807.25
Camarillo,CA,117,5187.80
"Citrus Heights",CA,117,5241.75
Coram,NY,117,3342.18
Howell,MI,117,5425.34
Nunda,NY,116,1340.96
Orangevale,CA,116,2323.08
Clinton,WA,116,6226.59
Delancey,NY,116,2473.03
Drumright,OK,116,1380.56
Duncanville,TX,116,4708.66
"Golden Valley",AZ,116,1681.71
Reedsport,OR,116,2041.65
Warren,PA,116,4478.38
"Prescott Valley",AZ,115,13021.21
Wrightsville,GA,115,5138.07
Mooresboro,NC,115,2450.82
"Mount Vernon",IA,115,4168.07
Batesville,AR,115,4991.57
Bunn,NC,115,4176.15
Centreville,VA,115,4601.68
Cleveland,TN,115,5605.22
"Bethel Park",PA,114,6095.76
"Blue Eye",MO,114,1165.75
Canastota,NY,114,3932.52
Clarkston,MI,114,5163.78
Collierville,TN,114,9226.75
"Estes Park",CO,114,1068.95
Princeton,IN,114,9904.29
Waxhaw,NC,114,6471.80
Johnston,IA,114,2186.49
Leetonia,OH,114,5276.16
Livingston,TX,114,5430.84
Medford,WI,114,2439.72
Nerstrand,MN,114,997.10
Newton,NJ,114,18335.17
"North Grafton",MA,114,5255.55
Odon,IN,114,1706.58
Perrysburg,OH,114,6658.42
Howland,ME,113,2481.95
Leslie,MI,113,1289.70
Pikesville,MD,113,12178.96
Deltona,FL,113,6076.52
"East Alton",IL,113,3542.37
"Fort Smith",AR,113,6971.76
Charleston,IL,112,3684.10
"Costa Mesa",CA,112,8676.18
Greer,SC,112,5553.57
Jeddo,MI,112,2633.83
Lagrange,IN,112,2960.00
Leominster,MA,112,2062.27
Madrid,Spain,112,4106.18
Mooresville,NC,112,6483.38
Norfolk,NY,112,2123.22
"North Ridgeville",OH,112,2792.21
Ottumwa,IA,112,8566.64
Poland,NY,112,2444.73
Sheboygan,WI,112,4408.48
"San Juan Capistrano",CA,111,8828.06
Spring,TX,111,4870.49
Trimble,TN,111,5784.17
Avon,CO,111,10764.78
Greeley,CO,111,7595.26
Millville,NJ,111,7401.95
Morgantown,WV,111,3653.03
Pelham,NY,110,12113.35
"Perry Hall",MD,110,3553.24
Pikeville,TN,110,7044.36
"Rancho Santa Margarita",CA,110,4140.57
Stoughton,MA,110,8462.46
Brockport,NY,110,3678.63
Chunky,MS,110,3341.07
Galesburg,MI,110,3764.05
Accokeek,MD,109,3805.54
Collins,MS,109,982.48
Evansville,WI,109,1109.32
Glasgow,KY,109,9278.62
Landrum,SC,109,1990.49
"Laurel Hill",FL,109,2613.45
"Manns Choice",PA,109,1825.95
Norwood,MA,109,6013.24
Pecatonica,IL,109,2724.83
Petal,MS,109,3692.50
Prague,"Czech Republic",109,4095.13
"Santa Maria",CA,109,10051.97
Troy,MI,109,5674.61
Tracy,CA,108,6687.30
Burnham,ME,108,7178.04
"El Dorado",AR,108,1979.39
"Granada Hills",CA,108,1133.56
Hernando,MS,108,9346.38
Lakewood,WA,108,5478.49
Landing,NJ,108,2584.74
Leavittsburg,OH,108,2817.00
Manteo,NC,108,10420.00
Meraux,LA,108,4915.15
Milford,MI,108,7638.51
"North Liberty",IA,108,4541.62
Orleans,IN,108,3752.06
Newton,MS,107,5177.93
Yorktown,VA,107,8396.58
Bastrop,LA,107,3361.59
"Buena Park",CA,107,3163.56
Concord,NH,107,4197.16
Derby,VT,107,1711.44
Cherokee,IA,106,2495.78
Concord,VT,106,3002.23
"Deer Park",NY,106,5498.55
"Imlay City",MI,106,1857.08
"Lake Stevens",WA,106,15331.67
"Line Lexington",PA,106,2866.19
Makawao,HI,106,6136.60
Mulkeytown,IL,106,1871.53
Philadelphia,MS,106,5620.01
Russell,PA,106,3237.90
Renton,WA,105,3639.46
Rockaway,NJ,105,3851.89
Seymour,CT,105,9684.66
Spencerville,OH,105,9204.53
Brownsboro,TX,105,6454.89
Columbia,VA,105,6991.72
Hartford,IL,105,3166.16
Johannesberg,"South Africa",105,4139.48
"Las Cruces",NM,105,5390.89
"New Waterford",OH,105,7742.55
Niles,OH,105,5064.25
Northumberland,PA,105,4274.63
Ovid,NY,105,1596.21
Kingston,Jamaica,104,2318.23
Phelan,CA,104,2982.03
"San Geronimo",CA,104,1165.31
"San Jose","Costa Rica",104,2223.13
"Black Hawk",SD,104,3844.94
Castalia,OH,104,5688.22
Champaign,IL,104,8647.60
"Boulder City",NV,103,7970.38
Canfield,OH,103,2970.65
Exton,PA,103,6290.68
Lawrenceburg,IN,103,4583.67
Odessa,TX,103,3732.26
"San Bernardino",CA,103,4356.58
"San Luis Obispo",CA,103,5181.84
Sayville,NY,103,4029.10
Sebastian,FL,103,3141.15
"Spirit Lake",ID,103,3416.22
Stafford,TX,103,3673.33
"Woodberry Forest",VA,103,9970.40
Proctorville,NC,102,2843.86
"Santa Cruz",CA,102,3173.86
"Spring Arbor",MI,102,438.70
"West Terre Haute",IN,102,1668.37
Baraboo,WI,102,7387.55
Bedford,IN,102,1897.63
"Bremo Bluff",VA,102,3767.67
Goodlettsville,TN,102,6394.04
"Jackson Heights",NY,102,4852.66
Loami,IL,102,10717.26
Mexico,MO,102,6671.32
"Muscle Shoals",AL,102,6806.51
Nesconset,NY,102,3600.67
Newport,OR,102,1992.32
"North Augusta",SC,102,4446.44
Paducah,KY,102,4950.98
"Hoffman Estates",IL,101,4454.65
Loveland,CO,101,5040.47
"Mars Hill",NC,101,5813.66
Mckinleyville,CA,101,3129.54
"Miami Beach",FL,101,4541.15
"Mountain View",CA,101,10532.75
"Rocky Mount",NC,101,4456.59
Arverne,NY,101,9563.23
Beaufort,SC,101,19108.89
"Agoura Hills",CA,100,3870.12
Bellville,TX,100,6374.79
Bluewater,NM,100,1495.45
Bozeman,MT,100,5678.56
Brandenburg,KY,100,2385.49
Chatham,NJ,100,6653.75
Columbus,GA,100,4230.19
"East Quogue",NY,100,2980.56
Lakewood,CA,100,4885.42
Olla,LA,100,2043.50
"Port Byron",NY,100,3582.94
"Saint Peters",MO,100,12913.17
"Sheffield Lake",OH,100,2584.88
Tustin,CA,100,2331.08
Vineland,NJ,100,4554.32
Severn,MD,99,2956.95
Stockton,CA,99,5918.05
Bountiful,UT,99,4283.84
Brawley,CA,99,1109.43
Canterbury,NH,99,3214.98
Carey,OH,99,1882.02
"East Stroudsburg",PA,99,2299.49
Franklin,NC,99,3567.92
Fredericksburg,OH,99,5073.15
Henderson,NC,99,5448.97
Mahomet,IL,99,6203.47
"Mc Cordsville",IN,99,1881.14
"Mc Lain",MS,99,920.36
Middlebury,CT,99,6742.66
"New Haven",IN,99,1764.35
"Harwood Heights",IL,98,3456.65
Kaysville,UT,98,5453.64
Loomis,CA,98,1728.40
Midland,MI,98,5257.24
"Port Townsend",WA,98,4125.40
Rosebud,MO,98,5967.73
Stoughton,WI,98,3593.91
"Sugar Land",TX,98,3710.99
Beachwood,OH,98,10212.13
Concrete,WA,98,2866.66
Corfu,NY,98,2672.77
"East Leroy",MI,98,1569.62
Evarts,KY,98,1316.19
"Fair Haven",NJ,98,2807.71
Grantham,NH,97,3820.00
Hastings,MI,97,4953.93
Kewanee,IL,97,4432.31
Livingston,MT,97,1332.03
"Manchester Township",NJ,97,1207.83
Mankato,MN,97,4183.23
"New Iberia",LA,97,2840.71
"Oakland Gardens",NY,97,6513.68
Omaha,TX,97,6062.30
"Saint Petersburg",FL,97,6594.52
Vidalia,GA,97,5351.43
"Sandy Lake",PA,96,654.98
Wilmington,MA,96,6075.98
Brookville,PA,96,2071.70
Clearfield,UT,96,3804.08
Clinton,NY,96,11962.48
Hollywood,SC,96,6608.81
Homestead,FL,96,2845.30
Killeen,TX,96,5079.75
Lathrop,CA,96,3650.63
Lilburn,GA,96,2935.47
Hawkins,TX,95,813.21
King,NC,95,3465.68
"Lake Zurich",IL,95,6362.05
Manchester,MI,95,3283.23
Margaretville,NY,95,1023.66
Roselle,NJ,95,5148.18
Sevierville,TN,95,6003.71
"Upper Darby",PA,95,2365.31
Vernon,TX,95,4368.81
Aledo,TX,95,2096.00
Bellflower,CA,95,6227.52
Belton,MO,95,3731.76
"Breaux Bridge",LA,95,868.15
Culver,IN,95,234.35
Draper,UT,95,4237.57
Eads,TN,95,5224.83
Elgin,IL,95,4087.80
"Fairmount City",PA,95,1696.10
Athens,TX,94,3820.78
"Bullhead City",AZ,94,5342.77
Cortland,NY,94,7872.25
Eagle,WI,94,9560.00
"East Hanover",NJ,94,13768.64
Follansbee,WV,94,2449.60
Niceville,FL,94,7706.87
"Rio Dell",CA,94,8184.39
Roy,UT,94,3498.94
"Saint Cloud",MN,94,2315.74
Scarsdale,NY,94,6450.18
"West Jordan",UT,94,7237.89
Woodland,MI,94,1708.37
Woodsfield,OH,93,6018.06
Avery,TX,93,4787.48
Bennettsville,SC,93,7826.42
"Broken Bow",OK,93,2837.04
Bryan,TX,93,2328.92
Edgewood,NM,93,2210.78
Folsom,CA,93,10448.08
Foreman,AR,93,1812.62
Friendswood,TX,93,6412.63
"Holly Springs",MS,93,2411.01
Houma,LA,93,6835.52
Inkster,MI,93,7451.66
Jeromesville,OH,93,3690.21
"Murrells Inlet",SC,93,2646.63
Netcong,NJ,93,3886.64
Norwell,MA,93,4017.13
Hinesville,GA,92,3652.88
Hogansville,GA,92,3224.44
"Manhattan Beach",CA,92,13447.40
Maysville,KY,92,3957.66
Meyersdale,PA,92,823.36
Ridgway,IL,92,2306.43
Sydney,Australia,92,3989.67
Titonka,IA,92,8640.00
Yuma,AZ,92,8931.09
Arlington,SD,92,4632.76
Bend,OR,92,4369.69
Benson,AZ,92,8263.56
Bunch,OK,92,608.02
Daleville,IN,92,1419.86
Annapolis,MD,91,7272.81
Copenhagen,Denmark,91,5572.81
Dodge,NE,91,3292.27
Durham,CT,91,5455.14
Fleming,GA,91,3947.54
"La Marque",TX,91,2480.17
Lorena,TX,91,5753.89
"New Providence",NJ,91,3776.00
Prospect,NY,91,602.54
"Rices Landing",PA,91,2997.58
Stanberry,MO,91,2334.16
Wister,OK,91,628.61
"River Falls",WI,90,2003.29
"Rohnert Park",CA,90,4927.83
Sparks,NV,90,4598.03
Banks,OR,90,2958.19
Blauvelt,NY,90,7888.08
Brea,CA,90,2194.53
Deatsville,AL,90,2328.86
"Diamond Bar",CA,90,4026.27
Flatwoods,KY,90,1280.89
Hesperia,CA,90,2473.95
Hooksett,NH,90,2051.23
Hudson,OH,90,3810.37
Kearney,NE,90,6020.41
Lodi,CA,90,3099.10
"North Baltimore",OH,90,6257.67
Okay,OK,90,1895.42
"Oxon Hill",MD,90,2046.03
"Phenix City",AL,90,4263.40
Lodi,WI,89,1269.68
Owensville,MO,89,631.18
Portsmouth,NH,89,3991.24
"Putnam Valley",NY,89,2308.69
Reston,VA,89,4353.37
Southlake,TX,89,4176.84
"Thousand Oaks",CA,89,4503.83
Bancroft,IA,89,2011.99
"Broken Arrow",OK,89,6209.08
"Fort Valley",GA,89,3748.68
Frankfort,IL,89,725.01
"Grain Valley",MO,89,2395.87
Andover,ME,88,1671.89
Antioch,CA,88,2748.85
"Bruceton Mills",WV,88,1733.10
Crete,IL,88,3482.98
"De Kalb",TX,88,3228.35
"Dorchester Center",MA,88,2625.87
"La Mesa",CA,88,4346.90
"Melrose Park",IL,88,4588.04
Millis,MA,88,8152.75
"New Knoxville",OH,88,8286.26
Ocala,FL,88,3489.40
Underhill,VT,88,2963.96
"Valley Village",CA,88,2737.84
"Wood Dale",IL,88,1436.45
Ravensdale,WA,87,5513.09
Rowlett,TX,87,2502.29
Stigler,OK,87,1896.95
Andover,OH,87,538.29
Austell,GA,87,2527.99
"Fairfax Station",VA,87,6779.08
Graniteville,SC,87,3013.28
Greencastle,PA,87,4539.16
"Hood River",OR,87,8660.00
Hurley,NY,87,293.39
"Lake Worth",FL,87,8616.92
Leesville,LA,87,3090.48
"Locust Grove",GA,86,5702.74
Metairie,LA,86,4234.13
"New Galilee",PA,86,902.79
"New Washington",OH,86,3462.73
"North Grosvenordale",CT,86,3276.89
"Palm Harbor",FL,86,3174.35
Shepherdsville,KY,86,4013.48
Venice,CA,86,9944.32
Bladensburg,MD,86,9311.66
Derby,CT,86,6906.43
Doylestown,OH,86,2257.60
"Evergreen Park",IL,86,9572.66
"Bonita Springs",FL,85,3711.34
"Brook Park",MN,85,12061.89
Coachella,CA,85,3628.53
Genoa,NE,85,2438.62
Hammond,IN,85,5789.03
Kalida,OH,85,1179.43
Lynbrook,NY,85,7240.00
"Mount Rainier",MD,85,1639.54
Murfreesboro,TN,85,8864.03
"North Adams",MA,85,2543.72
Reynoldsburg,OH,85,4265.72
"Spring Hill",FL,85,4121.71
Teaneck,NJ,85,1091.45
Victorville,CA,85,9107.14
Whitesboro,NY,85,4348.56
Williston,VT,85,9942.37
Wilton,CA,85,2309.30
Youngsville,NC,85,9120.00
Scottsville,KY,84,5581.33
Stevensville,MD,84,3146.72
Teterboro,NJ,84,1475.77
Boonville,MO,84,2757.90
Denver,NC,84,3779.98
Garrett,PA,84,1620.64
Hampstead,NH,84,12360.00
Haubstadt,IN,84,2843.77
Osborn,MO,84,1370.09
"Paso Robles",CA,84,2059.43
Pikeville,NC,84,4627.19
Guston,KY,83,2155.73
Kingston,TN,83,2684.67
Lehigh,IA,83,4210.84
Owensboro,KY,83,4512.91
Oxford,MS,83,4300.89
Sharpsville,PA,83,1244.44
Stillwater,OK,83,3925.06
"Washington Grove",MD,83,1028.56
Weatherford,OK,83,2765.30
Wellesley,MA,83,4619.26
Winnetka,CA,83,1761.67
Albany,GA,83,2643.12
Ardmore,OK,83,2569.26
"Central Square",NY,83,5557.32
Chester,NJ,83,8575.17
Anniston,AL,82,2496.98
Bedford,NH,82,3634.23
Ceresco,NE,82,1633.42
Covington,GA,82,6028.33
Decatur,TX,82,1757.82
Doddridge,AR,82,1385.06
"Dos Palos",CA,82,2459.31
Duluth,GA,82,3410.02
Irvine,CA,82,3243.59
Jesup,GA,82,7913.28
Loveland,OH,82,2943.81
Hamlet,NC,81,10394.02
Hearne,TX,81,2733.12
"Hope Mills",NC,81,3413.33
Isanti,MN,81,3716.27
Jenison,MI,81,955.67
Levering,MI,81,3242.68
"National City",CA,81,4330.13
Northfield,OH,81,10363.47
Brookfield,IL,81,4542.73
Clayton,IN,81,9500.00
Fleetwood,PA,81,1084.42
"Glens Falls",NY,81,4114.09
Pineland,SC,81,4070.05
Price,UT,81,6264.32
Scottsmoor,FL,81,1512.16
Washington,UT,81,1415.08
Yountville,CA,81,4507.80
Strasburg,OH,80,2145.01
Vergennes,VT,80,4039.22
Winona,MN,80,3275.53
Holt,CA,80,3430.01
Islamabad,Pakistan,80,2067.53
Jonesborough,TN,80,7766.13
"Maria Stein",OH,80,1390.38
"North Branch",MN,80,731.77
Pflugerville,TX,80,3474.36
Alpena,MI,80,2600.88
Campbellsport,WI,80,4488.15
Coralville,IA,80,5310.90
Fountain,CO,80,4205.50
Buckatunna,MS,79,8007.30
Demorest,GA,79,605.54
Dundalk,MD,79,21161.07
Forest,VA,79,1282.79
Goodwell,OK,79,519.59
Placitas,NM,79,5841.79
"South Hill",VA,79,7250.55
"Villa Rica",GA,79,4201.14
Waunakee,WI,79,3046.54
Wickliffe,OH,79,2860.85
Gulfport,MS,79,2795.01
Ishpeming,MI,79,1548.78
Jefferson,IA,79,1524.72
Liberty,TX,79,6663.04
Madison,NJ,79,2512.73
"Midway City",CA,79,4002.49
Moosup,CT,79,7493.41
Nashville,NC,79,2708.97
"Lehigh Acres",FL,78,2636.55
Maplewood,NJ,78,3905.78
"Moses Lake",WA,78,2860.87
Owatonna,MN,78,3502.62
Barnardsville,NC,78,484.65
Bergenfield,NJ,78,2871.45
Centerville,GA,78,3838.00
Concord,MI,78,2308.68
Devon,PA,78,1742.01
"East Greenville",PA,78,2471.23
"Good Hope",GA,78,2397.67
"Grass Valley",CA,78,5153.75
"San Bruno",CA,78,963.93
Steele,AL,78,2365.99
Plains,TX,77,818.89
Snyder,TX,77,3480.69
"Vatican City","Vatican City",77,1465.10
Vienna,MO,77,642.43
Leawood,KS,77,10615.16
Mccomb,MS,77,2120.04
Monroe,LA,77,3823.03
Olivehurst,CA,77,4482.47
Palatka,FL,77,2932.96
Angola,NY,77,3479.05
Antlers,OK,77,2082.73
Blountsville,AL,77,8060.00
Clermont,GA,77,7310.08
"College Station",TX,77,3608.81
Conyers,GA,77,4162.90
"Fort Mc Coy",FL,77,3613.47
Friendsville,TN,77,2815.22
Gaylordsville,CT,77,1784.35
Archer,FL,76,6537.82
"Casa Blanca",NM,76,1192.41
Concordville,PA,76,1182.30
Dillsboro,NC,76,2668.36
Elkhorn,NE,76,5391.10
"Port Charlotte",FL,76,1530.68
Springfield,OR,76,3424.97
"Homer City",PA,76,2597.32
Kingsburg,CA,76,2728.42
Lancaster,CA,76,9852.08
Ledyard,CT,76,25156.36
Lewiston,ME,76,3862.89
"North Bergen",NJ,76,4042.40
"Oil City",PA,76,6444.52
Laughlintown,PA,75,1084.30
Livermore,CA,75,11595.78
Marne,MI,75,1171.96
Melrose,MA,75,2238.50
"Mount Vernon",MO,75,731.08
Absecon,NJ,75,4807.96
Alamosa,CO,75,2834.29
Armada,MI,75,1406.73
Brookfield,CT,75,5685.66
Brookport,IL,75,1112.50
Catonsville,MD,75,4665.26
Cazenovia,NY,75,5067.66
Duncan,SC,75,3398.93
Edison,NJ,75,9113.13
"Elm Grove",WI,75,791.46
Glendora,CA,75,3021.32
Plymouth,MA,75,7696.47
"Port Matilda",PA,75,9343.29
"Scotch Plains",NJ,75,3154.74
Selah,WA,75,4922.38
Valdese,NC,75,4388.60
"Van Voorhis",PA,75,2418.05
"White House",TN,74,1097.52
Williamsport,PA,74,3660.06
Lawrenceburg,KY,74,2051.63
Midlothian,TX,74,2980.86
Norwalk,CA,74,5975.41
Norwood,NC,74,4221.19
"Oak Park",CA,74,8475.86
Pasco,WA,74,1515.14
Auburn,WA,74,4563.14
Burkburnett,TX,74,4435.75
Garwood,TX,74,1175.13
Bangalore,India,73,2349.95
Conway,MO,73,2016.58
Gilman,IA,73,3210.57
Ramona,CA,73,2222.03
Salem,OH,73,2835.46
Temple,TX,73,1754.65
"Twin Lake",MI,73,762.08
Harrison,ID,73,2923.39
Johnston,RI,73,2655.37
Joplin,MO,73,2032.90
"Mission Viejo",CA,73,3620.62
Pataskala,OH,73,5874.06
Hauppauge,NY,72,35210.22
Koppel,PA,72,1171.70
"Oil Springs",KY,72,1199.92
Orleans,MA,72,8316.73
"Boyne City",MI,72,7373.14
Brooklyn,MD,72,1925.59
"Browns Mills",NJ,72,2082.74
Cambridge,MN,72,2819.60
Caseyville,IL,72,891.02
"Fort Collins",CO,72,4634.44
Fraser,MI,72,4734.62
"Garden City",MI,72,2706.95
"Sodus Point",NY,72,1598.48
Sulphur,LA,72,6903.09
Tilton,IL,72,3390.32
Shelbyville,IL,71,440.83
"Twin Lakes",WI,71,3955.15
Wellington,"New Zealand",71,2365.47
Weston,MA,71,4074.38
Youngtown,AZ,71,1742.26
Lemoyne,PA,71,3916.33
Montague,CA,71,1608.01
"Mount Shasta",CA,71,890.08
Benton,LA,71,90.55
Clearwater,FL,71,4764.61
Dayton,OR,71,4164.38
"El Dorado",KS,71,2599.55
Eustis,FL,71,4812.92
Fellsmere,FL,71,1553.42
Boerne,TX,70,3168.99
Cheyenne,WY,70,2842.33
Delhi,India,70,3178.03
Douglassville,TX,70,995.95
Edwards,MS,70,1214.24
"Fort Atkinson",WI,70,2047.83
Grampian,PA,70,1525.53
"San Juan",TX,70,3700.59
Titusville,PA,70,3035.39
Wilmore,KY,70,1616.99
Holland,TX,70,1871.90
Johnstown,CO,70,4117.32
Kenosha,WI,70,4758.64
"Lake Placid",FL,70,3692.19
Levelland,TX,70,753.35
Oxford,CT,70,1535.03
Huntsville,TX,69,2824.73
"La Fayette",GA,69,2775.22
"Neshanic Station",NJ,69,21617.95
"New Oxford",PA,69,6040.00
Appling,GA,69,3682.72
Baxter,TN,69,1426.29
"Benton Harbor",MI,69,5238.73
Brooks,KY,69,1978.33
"Charlotte Hall",MD,69,552.77
"Cliffside Park",NJ,69,9253.57
Edgewater,MD,69,5217.88
Fairmount,IL,69,1235.16
Portola,CA,69,1308.20
Rantoul,IL,69,303.80
Salemburg,NC,69,5152.92
Springfield,VA,69,2715.08
Unicoi,TN,69,1179.74
"Van Nuys",CA,69,4803.81
Wellington,FL,69,4586.02
"Port Arthur",TX,68,3024.46
Rockledge,FL,68,4486.85
Titusville,FL,68,5965.00
"Wilkes Barre",PA,68,3920.71
Hampton,VA,68,865.91
Haynesville,LA,68,3029.00
Hayward,WI,68,2801.58
Highland,IN,68,4360.43
Ladonia,TX,68,5091.55
Manila,AR,68,4505.56
Mattapan,MA,68,4279.96
"New Roads",LA,68,4098.15
Philippi,WV,68,2640.25
Andrews,TX,68,1822.35
Apopka,FL,68,4929.31
Bellwood,IL,68,1920.30
"Broad Top",PA,68,4242.76
Carrboro,NC,68,2454.65
Danville,CA,68,8669.93
Dubach,LA,68,2174.52
Ducor,CA,68,2115.45
Edgartown,MA,68,3015.73
Albany,OR,67,1981.86
Bronson,FL,67,3493.78
Churubusco,IN,67,2531.21
"Coal Township",PA,67,2089.78
Commerce,OK,67,320.61
"Crab Orchard",TN,67,189.44
"Du Bois",PA,67,911.54
Edmonton,Canada,67,2506.20
Runnemede,NJ,67,7900.00
Southbury,CT,67,7038.38
Steubenville,OH,67,3417.29
Tippecanoe,IN,67,3176.58
"Valley Park",MO,67,788.02
Zionsville,IN,67,4833.16
Jefferson,WI,67,876.88
Manchester,CT,67,1147.76
Moline,IL,67,2888.64
Morehead,KY,67,2009.15
Nassau,"The Bahamas",67,1733.85
"Nebraska City",NE,67,998.98
Oakhurst,CA,67,1503.62
Oakville,CT,67,1743.43
Grovetown,GA,66,1722.83
Harleysville,PA,66,3877.95
"Hawaiian Gardens",CA,66,3114.25
Jackson,MO,66,1563.94
"Lake Park",GA,66,3062.09
Montandon,PA,66,2455.83
Neshkoro,WI,66,4355.59
Penryn,CA,66,3911.49
Athens,OH,66,1164.84
Bayport,MN,66,563.81
Calhoun,GA,66,2368.82
Corning,CA,66,2168.52
Deerfield,MI,66,810.91
Depew,NY,66,1127.85
Elberton,GA,66,16609.29
Enfield,NH,66,795.71
Everett,MA,66,3235.44
Freeport,FL,66,2323.86
Friedens,PA,66,1108.73
"Point Roberts",WA,66,4299.01
Prague,OK,66,2116.21
"Redondo Beach",CA,66,2974.40
"Scenery Hill",PA,66,1543.65
Spencer,WI,66,2830.48
Thibodaux,LA,66,5196.95
Wallingford,CT,66,8623.10
Warren,MI,66,5589.96
Preston,CT,65,5893.72
Radcliff,KY,65,1664.73
"Redwood Falls",MN,65,1451.46
"Rio Grande City",TX,65,1284.40
Salina,KS,65,672.54
Saugerties,NY,65,2048.62
Snowflake,AZ,65,3725.64
Vanderbilt,PA,65,2160.99
Venice,IL,65,2896.83
Willshire,OH,65,1655.12
Havre,MT,65,1802.98
Laurel,DE,65,1015.07
"Long Beach",NY,65,2688.53
Ogdensburg,NY,65,4541.47
Oradell,NJ,65,6425.69
Owasso,OK,65,3356.55
"Center Line",MI,65,5820.84
Clearwater,KS,65,4602.38
Collingswood,NJ,65,2632.74
Florence,OR,65,1749.92
Groton,CT,65,1848.31
Atlantic,IA,64,2887.55
Aurora,MO,64,2428.94
Bayfield,WI,64,8224.03
Bethpage,NY,64,2299.10
Chico,TX,64,2789.81
Colbert,WA,64,2527.80
Cottondale,AL,64,7631.09
Encinitas,CA,64,2250.12
"French Lick",IN,64,1808.85
Plymouth,NY,64,681.74
"Saint Amant",LA,64,1693.27
Schofield,WI,64,3299.50
Shippensburg,PA,64,2026.64
Waterbury,VT,64,1977.40
Williamson,WV,64,3278.35
"Winter Park",FL,64,4381.93
Hancock,WI,64,3043.79
"Hot Springs",SD,64,3174.51
Jakarta,Indonesia,64,2743.39
Lexington,NC,64,5132.51
"Mc Graw",NY,64,2657.14
"North Canton",OH,64,2009.89
"North Palm Beach",FL,64,887.85
Hanover,IL,63,1093.67
Hazleton,PA,63,2804.37
Hillsboro,KS,63,3200.50
"La Place",LA,63,3388.84
"Ladera Ranch",CA,63,678.57
"Lake Alfred",FL,63,3493.04
Lompoc,CA,63,3057.15
"Mc Arthur",OH,63,1487.92
Middletown,CT,63,1947.77
Monessen,PA,63,1810.34
Monroe,OH,63,3847.59
Newark,NY,63,6262.96
Aquashicola,PA,63,2145.31
Bertram,TX,63,4059.57
Chapmanville,WV,63,3495.72
Chuckey,TN,63,1494.68
Enola,PA,63,3601.26
Fairfax,SC,63,2679.61
"Pleasant Hope",MO,63,2150.11
Searcy,AR,63,8482.52
"West Fargo",ND,63,1872.38
Woodbridge,CA,63,6370.53
"Yuba City",CA,63,5333.99
"Port Norris",NJ,62,2543.15
Randolph,MA,62,1978.26
"Santa Clarita",CA,62,4064.39
"Sioux City",IA,62,2774.13
Springerville,AZ,62,1827.11
Tennille,GA,62,2886.38
Uniontown,OH,62,1444.77
Wheelersburg,OH,62,2977.52
"Gulf Breeze",FL,62,4213.04
Hull,MA,62,1354.96
Mansfield,TX,62,3700.95
Monroe,GA,62,5698.09
"New River",AZ,62,2532.51
Burgaw,NC,62,2216.60
"Cross Hill",SC,62,2502.23
"East Millsboro",PA,62,1860.27
Escanaba,MI,62,1641.61
Ferndale,MI,62,1205.50
Fostoria,OH,62,2878.87
Gallup,NM,62,1885.37
Goldendale,WA,62,4131.94
Brandon,FL,61,5323.96
Carthage,TX,61,3381.22
Cranston,RI,61,2974.14
Donna,TX,61,3724.40
Fairfax,CA,61,3652.85
Frederick,OK,61,1575.21
Pinson,AL,61,1310.53
"Portola Valley",CA,61,2634.66
Racine,WV,61,1592.81
Romeo,MI,61,1693.69
"San Anselmo",CA,61,3011.74
Sandpoint,ID,61,1864.07
Shenandoah,PA,61,2272.38
Springville,IA,61,1049.78
Tiffin,OH,61,3525.02
Woodside,NY,61,3303.33
Highlands,TX,61,2842.94
Hummelstown,PA,61,2990.49
"Key Biscayne",FL,61,4193.04
"Manakin Sabot",VA,61,5031.84
Norwalk,OH,61,4156.15
Hillsboro,OH,60,1072.98
Kemah,TX,60,1451.42
Laurens,SC,60,2210.70
Leesburg,GA,60,1091.73
Lyon,MS,60,711.83
"Mill Creek",WA,60,2489.22
Oktaha,OK,60,6595.62
Paramount,CA,60,16484.77
Avon,CT,60,1531.44
Baxter,MN,60,3420.66
