merchant_city,merchant_state,jumlah_transaksi,total_volume,avg_transaksi
Richmond,MN,56,3163.87,56.497679
Rockwood,TN,56,1745.90,31.176786
"Sharon Hill",PA,56,2528.69,45.155179
"Slippery Rock",PA,56,2234.01,39.893036
"Springfield Gardens",NY,56,2190.56,39.117143
Sterling,VA,56,3629.16,64.806429
Tiger,GA,56,4494.81,80.264464
"West Point",VA,56,854.31,15.255536
Westbury,NY,56,4415.79,78.853393
Wheeling,WV,56,1826.63,32.618393
Alabaster,AL,56,2416.37,43.149464
"Council Bluffs",IA,56,1465.50,26.169643
Cullowhee,NC,56,1984.89,35.444464
Douglas,GA,56,2006.49,35.830179
"Fair Play",MO,56,1921.78,34.317500
Georgetown,SC,56,3367.72,60.137857
Grafton,VT,56,5120.00,91.428571
"Grand Haven",MI,56,3094.29,55.255179
Hamden,CT,56,2534.10,45.251786
Herndon,VA,56,1725.66,30.815357
Hulbert,OK,56,1866.56,33.331429
Kilgore,TX,56,3401.24,60.736429
Freeport,IL,55,3358.85,61.070000
Frenchburg,KY,55,3692.87,67.143091
"Great Mills",MD,55,6084.35,110.624545
Hamburg,PA,55,2429.59,44.174364
Hammon,OK,55,3049.11,55.438364
"Hobe Sound",FL,55,1686.25,30.659091
Jacksonville,IL,55,4701.50,85.481818
"Le Sueur",MN,55,2009.11,36.529273
Sandy,UT,55,1230.59,22.374364
"Simi Valley",CA,55,4767.80,86.687273
"South Haven",MI,55,2283.52,41.518545
Susanville,CA,55,1228.01,22.327455
Sylvania,OH,55,3423.46,62.244727
Maddock,ND,55,8875.10,161.365455
Mesquite,NM,55,2240.95,40.744545
"Mount Laurel",NJ,55,2541.31,46.205636
Petersburg,IL,55,7167.41,130.316545
Afton,TN,55,939.58,17.083273
Alachua,FL,55,2440.31,44.369273
Bangkok,Thailand,55,2232.81,40.596545
Butner,NC,55,4320.70,78.558182
"Cedar Hill",MO,55,2451.41,44.571091
Charlestown,IN,55,1349.84,24.542545
Chittenango,NY,55,3471.80,63.123636
Coopersville,MI,55,3164.04,57.528000
Davis,CA,55,1530.93,27.835091
Delbarton,WV,55,2003.30,36.423636
Denton,MD,55,2291.60,41.665455
Durham,NH,55,2263.74,41.158909
"East Chicago",IN,55,2186.82,39.760364
Boring,OR,54,1546.65,28.641667
Brooklyn,IA,54,3027.76,56.069630
Catlett,VA,54,1647.22,30.504074
"Church Road",VA,54,1993.10,36.909259
Sibley,LA,54,1900.96,35.202963
"South Amboy",NJ,54,3053.65,56.549074
Texarkana,AR,54,3896.56,72.158519
Troy,OH,54,1957.26,36.245556
Vail,CO,54,1821.41,33.729815
Winchester,VA,54,3079.60,57.029630
"Ellwood City",PA,54,3435.82,63.626296
Fernley,NV,54,2932.40,54.303704
Hockley,TX,54,1374.08,25.445926
Irvington,KY,54,590.44,10.934074
"Lake City",MI,54,2570.83,47.607963
Nevada,MO,54,2635.83,48.811667
Pacific,WA,54,1910.79,35.385000
Paris,TX,54,1689.64,31.289630
Piedmont,AL,54,2434.81,45.089074
"Pinellas Park",FL,54,1590.89,29.460926
Plaquemine,LA,54,1288.64,23.863704
"Middle River",MD,53,2061.74,38.900755
"Newbury Park",CA,53,1077.76,20.335094
"North Palm Springs",CA,53,769.53,14.519434
"Peachtree City",GA,53,2524.77,47.637170
"Pleasant Hill",OH,53,2534.64,47.823396
"Richfield Springs",NY,53,1215.44,22.932830
Tavares,FL,53,1715.88,32.375094
Wailuku,HI,53,1977.52,37.311698
Westminster,MD,53,1272.36,24.006792
Williamstown,KY,53,3141.13,59.266604
Anacortes,WA,53,2341.46,44.178491
"Arkansas City",KS,53,4859.92,91.696604
Bangor,ME,53,18136.42,342.196604
Captiva,FL,53,2407.23,45.419434
Charlottesville,VA,53,2436.13,45.964717
Dixfield,ME,53,819.60,15.464151
"East Flat Rock",NC,53,1921.12,36.247547
"East Orange",NJ,53,2503.65,47.238679
Edwardsville,IL,53,1507.05,28.434906
Grafton,ND,53,3267.81,61.656792
Hayden,AL,53,2384.89,44.997925
Kouts,IN,53,3696.49,69.745094
Lennon,MI,53,2371.69,44.748868
"Elizabeth City",NC,52,1172.85,22.554808
Ione,OR,52,1648.07,31.693654
Jamestown,NY,52,746.97,14.364808
Kellyville,OK,52,4140.00,79.615385
Kinsman,OH,52,574.45,11.047115
Lagrange,GA,52,1981.86,38.112692
Richards,TX,52,2201.72,42.340769
Secaucus,NJ,52,4059.54,78.068077
"Shasta Lake",CA,52,2548.42,49.008077
Statesboro,GA,52,4880.67,93.859038
"Steep Falls",ME,52,2516.31,48.390577
Troy,MO,52,6846.25,131.658654
Ventura,CA,52,1948.22,37.465769
Washington,IL,52,2144.56,41.241538
Lincolnwood,IL,52,1372.58,26.395769
Lindenhurst,NY,52,10671.83,205.227500
Longville,LA,52,8882.15,170.810577
"Lutherville Timonium",MD,52,2124.84,40.862308
Melrose,MN,52,2422.14,46.579615
Menominee,MI,52,4840.52,93.086923
"Missouri City",TX,52,1565.68,30.109231
"New Lexington",OH,52,3275.35,62.987500
Osseo,WI,52,2078.51,39.971346
Palestine,TX,52,1658.78,31.899615
"Polk City",FL,52,1675.62,32.223462
Preston,ID,52,4222.45,81.200962
Belcamp,MD,52,4265.83,82.035192
Burlington,VT,51,2725.37,53.438627
Cabool,MO,51,1558.68,30.562353
"Camp Point",IL,51,2388.71,46.837451
Cartersville,GA,51,4368.49,85.656667
"Columbia City",OR,51,1686.77,33.073922
Coopersburg,PA,51,1720.69,33.739020
"Santa Fe",TX,51,875.11,17.159020
Sicklerville,NJ,51,5172.42,101.420000
"South Point",OH,51,1420.49,27.852745
Stephenville,TX,51,1979.11,38.806078
Sweetwater,TX,51,2258.87,44.291569
Sylacauga,AL,51,18991.46,372.381569
Waban,MA,51,1520.75,29.818627
Westport,CT,51,4916.29,96.397843
Wildwood,FL,51,1968.19,38.591961
"Winter Haven",FL,51,2623.73,51.445686
"Fort Lee",VA,51,857.94,16.822353
Galt,CA,51,19761.22,387.474902
Grafton,WI,51,2142.94,42.018431
Howard,KS,51,1168.55,22.912745
Jackson,TN,51,1362.18,26.709412
Lisbon,OH,51,2370.78,46.485882
Middlesex,NJ,51,4456.90,87.390196
Montebello,CA,51,9483.74,185.955686
Morris,IL,51,4158.97,81.548431
Navarre,OH,51,2485.98,48.744706
"New Prague",MN,51,861.20,16.886275
Orosi,CA,51,1251.00,24.529412
"Pell City",AL,51,714.53,14.010392
Ponder,TX,51,487.99,9.568431
Pottstown,PA,51,5864.02,114.980784
"Red Oak",OK,51,864.40,16.949020
Martin,TN,50,2012.10,40.242000
Mcdonough,GA,50,13195.15,263.903000
Merrillville,IN,50,2587.75,51.755000
Nanuet,NY,50,3928.33,78.566600
"North Miami Beach",FL,50,1138.88,22.777600
"North Vernon",IN,50,2212.31,44.246200
Patchogue,NY,50,3089.77,61.795400
Plattsburg,MO,50,504.14,10.082800
"Playa Del Rey",CA,50,4100.87,82.017400
"Pleasant Hill",IA,50,2518.91,50.378200
"Port Saint Lucie",FL,50,1441.51,28.830200
"Two Rivers",WI,50,1527.92,30.558400
"Woodbury Heights",NJ,50,3688.05,73.761000
Alvaton,KY,50,14804.62,296.092400
Blythe,CA,50,2388.17,47.763400
Cameron,WI,50,6669.74,133.394800
"Cardiff By The Sea",CA,50,3138.58,62.771600
Clio,SC,50,3448.34,68.966800
"Fort Pierce",FL,50,4542.21,90.844200
"Grand Cane",LA,50,2025.71,40.514200
Greenfield,MA,50,2589.96,51.799200
Helena,GA,50,1310.33,26.206600
Helsinki,Finland,50,1623.91,32.478200
Homer,NY,50,1450.57,29.011400
Liberty,MO,50,3204.83,64.096600
"Eden Prairie",MN,49,1211.37,24.721837
Fairburn,GA,49,2470.39,50.416122
Fulton,MO,49,1165.00,23.775510
Grimes,IA,49,761.55,15.541837
Lee,MA,49,835.67,17.054490
Rockfield,KY,49,2953.25,60.270408
"Little Rock",SC,49,3067.02,62.592245
Marinette,WI,49,1775.82,36.241224
"Mount Carmel",PA,49,2236.60,45.644898
Nocona,TX,49,1873.09,38.226327
"Orange Park",FL,49,2080.42,42.457551
"Panama City Beach",FL,49,1509.32,30.802449
Payneville,KY,49,892.90,18.222449
Rawson,OH,49,3798.15,77.513265
Aberdeen,WA,49,1764.56,36.011429
Alamo,GA,49,1651.78,33.709796
Arab,AL,49,1808.05,36.898980
Barre,VT,49,863.31,17.618571
Benton,AR,49,2201.03,44.918980
Bentonville,AR,49,2115.93,43.182245
Campton,NH,49,595.76,12.158367
"Cedar Lake",IN,49,954.37,19.476939
Chilton,WI,49,797.36,16.272653
"Colonial Heights",VA,49,3270.89,66.752857
"Desert Hot Springs",CA,49,372.65,7.605102
Devine,TX,49,3895.46,79.499184
Dorchester,MA,49,1927.64,39.339592
Drummonds,TN,49,2159.49,44.071224
"East Moriches",NY,49,2372.26,48.413469
Americus,GA,48,1203.98,25.082917
Ashburn,GA,48,2935.06,61.147083
Carlsbad,CA,48,3489.19,72.691458
Cornelius,OR,48,1220.14,25.419583
Crowley,LA,48,2473.68,51.535000
Riverhead,NY,48,1755.86,36.580417
"Rock Island",IL,48,1430.32,29.798333
"Saint Petersburg",Russia,48,3341.95,69.623958
Trafford,PA,48,3860.00,80.416667
Tuckerton,NJ,48,2115.12,44.065000
Walkerton,VA,48,740.58,15.428750
Webberville,MI,48,1660.60,34.595833
Willington,CT,48,2587.89,53.914375
Youngstown,NY,48,3883.67,80.909792
Falkner,MS,48,1012.55,21.094792
Fredericksburg,VA,48,1661.58,34.616250
Gilford,NH,48,2361.40,49.195833
Hereford,TX,48,920.10,19.168750
"Hilton Head Island",SC,48,1980.24,41.255000
Kell,IL,48,1607.80,33.495833
Linden,MI,48,6816.82,142.017083
Lothian,MD,48,571.31,11.902292
Mackinaw,IL,48,3157.96,65.790833
"Maple Shade",NJ,48,1280.37,26.674375
"Mc Farland",WI,48,1203.89,25.081042
Monroe,WA,48,2423.88,50.497500
Morrilton,AR,48,2513.05,52.355208
Moscow,ID,48,1585.68,33.035000
"New Bedford",MA,48,730.33,15.215208
Peabody,MA,48,600.81,12.516875
Pickrell,NE,48,370.39,7.716458
Medina,OH,47,4101.08,87.257021
Montgomery,TX,47,1190.73,25.334681
Orangeville,PA,47,1776.09,37.789149
"Pleasant Hill",CA,47,4001.26,85.133191
Poolesville,MD,47,593.16,12.620426
Poquoson,VA,47,2982.04,63.447660
"Abu Dhabi","United Arab Emirates",47,1537.76,32.718298
Azusa,CA,47,1349.32,28.708936
Belmont,MA,47,3920.42,83.413191
Carney,MI,47,5204.56,110.735319
Clayton,OH,47,4619.97,98.297234
"Rice Lake",WI,47,2254.26,47.962979
Riverside,RI,47,8564.32,182.219574
"Rock Spring",GA,47,3036.63,64.609149
Rosedale,MD,47,1630.65,34.694681
Rosendale,NY,47,4863.55,103.479787
"Saint Joseph",MI,47,1306.00,27.787234
Southington,OH,47,2290.14,48.726383
Splendora,TX,47,3977.45,84.626596
Strasburg,CO,47,978.04,20.809362
Troy,NC,47,379.74,8.079574
"Union City",OK,47,1012.50,21.542553
"Wappingers Falls",NY,47,2664.13,56.683617
Fremont,OH,47,724.89,15.423191
"Grand Island",NE,47,10875.10,231.385106
Harned,KY,47,1782.04,37.915745
Harrison,NJ,47,2925.11,62.236383
"Hazel Green",AL,47,4360.00,92.765957
"Hong Kong","Hong Kong",47,1872.22,39.834468
"House Springs",MO,47,1681.90,35.785106
Huntsville,AL,47,2343.56,49.862979
Jackson,MI,47,3281.19,69.812553
Lewiston,NY,47,2182.66,46.439574
"East Wenatchee",WA,46,2208.47,48.010217
Flint,MI,46,1901.01,41.326304
"Fort Washington",PA,46,1149.29,24.984565
Hagerstown,MD,46,5415.68,117.732174
Jericho,NY,46,3373.23,73.331087
Kersey,CO,46,3374.89,73.367174
"Krotz Springs",LA,46,2218.58,48.230000
Lacey,WA,46,5336.27,116.005870
Lebanon,KY,46,1612.08,35.045217
Andover,MA,46,3433.29,74.636739
Arlington,TN,46,2151.09,46.762826
Belvidere,IL,46,1365.65,29.688043
Blanchard,OK,46,4302.26,93.527391
"Boiling Springs",SC,46,1976.64,42.970435
Calera,AL,46,1608.83,34.974565
Calera,OK,46,1833.80,39.865217
Cambridge,MA,46,3291.21,71.548043
"Central City",IA,46,1980.95,43.064130
Cheraw,SC,46,2486.44,54.053043
Chester,CT,46,1635.92,35.563478
Chico,CA,46,1869.93,40.650652
Cypress,TX,46,5618.15,122.133696
Dickinson,ND,46,2730.38,59.356087
Marion,NC,46,2751.09,59.806304
Mineola,TX,46,2917.05,63.414130
Montevideo,Uruguay,46,1347.00,29.282609
"Oak Park",IL,46,2897.71,62.993696
Oakley,CA,46,9030.47,196.314565
Pamplico,SC,46,1217.06,26.457826
Philmont,NY,46,3084.66,67.057826
Purcellville,VA,46,1857.40,40.378261
Simpsonville,KY,46,704.55,15.316304
Spencer,OK,46,1727.32,37.550435
Strasburg,ND,46,2689.50,58.467391
Tunkhannock,PA,46,1927.82,41.909130
"White Oak",TX,46,780.81,16.974130
Woodridge,IL,46,6347.99,137.999783
Rockford,OH,45,1134.91,25.220222
Roy,WA,45,2703.76,60.083556
Rushford,MN,45,1849.51,41.100222
"Saint James",NY,45,3828.44,85.076444
Sebastopol,CA,45,1722.25,38.272222
Smyrna,GA,45,1192.65,26.503333
Stirling,NJ,45,4142.89,92.064222
Whitehall,MI,45,1979.62,43.991556
Winnie,TX,45,2501.88,55.597333
Winnsboro,TX,45,3081.61,68.480222
"Abita Springs",LA,45,1404.64,31.214222
"Bossier City",LA,45,1804.45,40.098889
"Cannon Falls",MN,45,2378.41,52.853556
Cumby,TX,45,633.08,14.068444
Yukon,OK,45,5732.14,127.380889
Erlanger,KY,45,1528.35,33.963333
Fairmont,MN,45,3349.30,74.428889
Franklin,IL,45,1985.42,44.120444
Gaston,IN,45,1427.50,31.722222
Hope,AR,45,8488.44,188.632000
Lafayette,TN,45,4388.45,97.521111
"Los Alamos",NM,45,1495.95,33.243333
"Los Lunas",NM,45,2555.64,56.792000
"New Milford",CT,45,1777.13,39.491778
"North Dartmouth",MA,45,2406.65,53.481111
Oakton,VA,45,3389.38,75.319556
"Pleasant Hill",LA,45,1838.18,40.848444
Macon,MS,44,2183.68,49.629091
Minooka,IL,44,3221.98,73.226818
Montague,MI,44,1538.85,34.973864
Moody,AL,44,4120.00,93.636364
"Mount Perry",OH,44,3070.49,69.783864
"New Hope",PA,44,2951.90,67.088636
Palermo,CA,44,2238.73,50.880227
Perkasie,PA,44,4335.32,98.530000
"Rapid City",SD,44,2697.02,61.295909
Yucaipa,CA,44,1469.29,33.392955
Riyadh,"Saudi Arabia",44,1623.13,36.889318
Russellville,KY,44,3835.12,87.161818
Salem,IN,44,1631.89,37.088409
"Union Grove",WI,44,1356.15,30.821591
Westfield,WI,44,2410.04,54.773636
Abingdon,VA,44,1248.40,28.372727
Andover,IL,44,2921.15,66.389773
Campbell,CA,44,3979.44,90.441818
Casselberry,FL,44,25117.69,570.856591
Coldwater,OH,44,1370.56,31.149091
Corning,NY,44,480.64,10.923636
Dewitt,VA,44,1691.17,38.435682
Dunnellon,FL,44,2121.15,48.207955
Faribault,MN,44,5805.02,131.932273
"Forest Hill",MD,44,9761.54,221.853182
Glenfield,NY,44,542.52,12.330000
Gretna,NE,44,5559.47,126.351591
Hampton,CT,44,4569.12,103.843636
Hershey,PA,44,2086.54,47.421364
Hohenwald,TN,44,1070.63,24.332500
Leo,IN,44,733.84,16.678182
Fairmont,WV,43,2257.90,52.509302
Farmingdale,NY,43,1907.41,44.358372
Frankfort,NY,43,1236.82,28.763256
Glenmont,NY,43,3366.81,78.297907
Gosport,IN,43,3755.63,87.340233
Grahamsville,NY,43,1676.31,38.983953
Hamburg,NY,43,7685.35,178.729070
Hesston,KS,43,1593.52,37.058605
Kennesaw,GA,43,2400.35,55.822093
Somers,CT,43,3178.84,73.926512
Timberlake,NC,43,1467.52,34.128372
Tornado,WV,43,2227.82,51.809767
Troy,IL,43,1442.74,33.552093
Trumann,AR,43,714.36,16.613023
"Wild Rose",WI,43,1695.75,39.436047
Mandeville,LA,43,4349.51,101.151395
Mansfield,LA,43,1465.47,34.080698
"Mount Dora",FL,43,1751.55,40.733721
Oxford,NC,43,2567.40,59.706977
"Park City",MT,43,4740.00,110.232558
Piedmont,SC,43,1822.12,42.374884
Pixley,CA,43,2084.27,48.471395
Plainfield,IL,43,977.90,22.741860
Plainview,TX,43,894.30,20.797674
Polk,OH,43,856.36,19.915349
Rescue,CA,43,1153.97,26.836512
"Ash Flat",AR,43,1713.68,39.853023
Beasley,TX,43,9540.00,221.860465
"Big Spring",TX,43,3727.21,86.679302
Coatesville,PA,43,1994.81,46.390930
Corunna,MI,43,1565.61,36.409535
Bayside,NY,42,1303.12,31.026667
Bellevue,KY,42,2828.18,67.337619
Braintree,MA,42,1954.12,46.526667
"Cape Girardeau",MO,42,1185.55,28.227381
Cedartown,GA,42,2720.00,64.761905
Chapin,SC,42,2677.88,63.759048
Chester,IL,42,1541.31,36.697857
Conneaut,OH,42,1689.47,40.225476
"Deep Gap",NC,42,2077.73,49.469762
"Devils Lake",ND,42,2389.11,56.883571
Duncombe,IA,42,754.02,17.952857
"Saint Michaels",MD,42,1691.51,40.274048
"San Clemente",CA,42,1951.12,46.455238
Wakefield,RI,42,1883.19,44.837857
Wetumpka,AL,42,3664.91,87.259762
Worden,IL,42,2664.33,63.436429
Edenton,NC,42,792.41,18.866905
Elizabethville,PA,42,2210.51,52.631190
"Elm Grove",LA,42,1998.22,47.576667
"Four Oaks",NC,42,128.57,3.061190
"Grand Blanc",MI,42,1982.95,47.213095
Grandview,MO,42,1634.94,38.927143
Hooker,OK,42,2366.48,56.344762
"Johnson City",NY,42,2170.30,51.673810
Johnstown,PA,42,4469.44,106.415238
Kelso,WA,42,1190.98,28.356667
Killbuck,OH,42,1060.74,25.255714
Lawrence,MA,42,2807.69,66.849762
Leesport,PA,42,2524.27,60.101667
"Lincoln University",PA,42,3366.96,80.165714
Liverpool,NY,42,2319.17,55.218333
Madison,GA,42,1004.01,23.905000
Malta,MT,42,3680.00,87.619048
Manteno,IL,42,777.73,18.517381
"North Bend",WA,42,2352.79,56.018810
Pasadena,CA,42,1540.89,36.687857
Petersburg,NE,42,1241.38,29.556667
"Pilot Rock",OR,42,1331.54,31.703333
"Port Neches",TX,42,2352.19,56.004524
Litchfield,CT,41,2355.66,57.455122
"Mc Queeney",TX,41,1165.88,28.436098
"Mount Hope",WV,41,1721.07,41.977317
Munford,TN,41,1585.48,38.670244
"North Monmouth",ME,41,954.51,23.280732
"North Port",FL,41,1307.49,31.890000
Robstown,TX,41,1351.50,32.963415
"Saint Johns",FL,41,3098.29,75.568049
Scarbro,WV,41,4840.00,118.048780
Vermillion,SD,41,1061.31,25.885610
"West Lafayette",OH,41,376.77,9.189512
Alamogordo,NM,41,3664.78,89.384878
Amana,IA,41,1017.25,24.810976
Amsterdam,NY,41,12978.89,316.558293
Angleton,TX,41,1600.10,39.026829
Aptos,CA,41,1960.76,47.823415
Athens,AL,41,1212.53,29.573902
Blountville,TN,41,2093.42,51.059024
California,MD,41,1509.69,36.821707
Canton,IL,41,5922.62,144.454146
"Chisago City",MN,41,2020.99,49.292439
Darlington,SC,41,2772.24,67.615610
"Denham Springs",LA,41,2482.69,60.553415
"East Brunswick",NJ,41,2764.54,67.427805
Erwin,NC,41,1538.56,37.525854
Eureka,CA,41,2030.88,49.533659
Fairview,OR,41,1171.00,28.560976
Forest,MS,41,1453.05,35.440244
Grasston,MN,41,2475.96,60.389268
"La Grange Park",IL,41,2708.15,66.052439
Lamont,CA,41,1616.33,39.422683
Frankston,TX,40,1426.74,35.668500
Goodrich,MI,40,3044.03,76.100750
Hazlehurst,MS,40,1471.60,36.790000
"Huntingdon Valley",PA,40,2514.25,62.856250
"Lake Oswego",OR,40,1870.01,46.750250
Riverdale,CA,40,982.82,24.570500
"Saint Gabriel",LA,40,2565.82,64.145500
Waikoloa,HI,40,8353.14,208.828500
Waldron,IN,40,402.75,10.068750
Wrentham,MA,40,422.34,10.558500
Marcus,IA,40,1313.57,32.839250
Minnetonka,MN,40,2183.51,54.587750
Monett,MO,40,1396.42,34.910500
Morton,IL,40,847.48,21.187000
"New Bern",NC,40,1008.33,25.208250
"Oak Hill",FL,40,3449.69,86.242250
"Orange Cove",CA,40,1195.44,29.886000
Powell,TN,40,1367.08,34.177000
Redmond,OR,40,1106.26,27.656500
Abbeville,AL,40,1032.18,25.804500
Bogata,TX,40,744.98,18.624500
Bow,NH,40,3889.41,97.235250
Brandon,SD,40,1769.25,44.231250
Brazil,IN,40,2250.28,56.257000
Charlestown,MA,40,2435.82,60.895500
Clementon,NJ,40,863.37,21.584250
"Crest Hill",IL,40,3076.17,76.904250
"De Soto",MO,40,2654.71,66.367750
Albany,IN,39,814.90,20.894872
Apison,TN,39,718.61,18.425897
Bacliff,TX,39,2247.71,57.633590
Bardstown,KY,39,2079.46,53.319487
Bedford,OH,39,2374.68,60.889231
Blair,OK,39,4180.00,107.179487
Brackenridge,PA,39,1224.99,31.410000
Brooksville,FL,39,2209.90,56.664103
Carlisle,KY,39,1634.39,41.907436
Damascus,OR,39,3382.93,86.741795
Dexter,NY,39,5257.82,134.815897
Dolton,IL,39,1982.19,50.825385
"East Millinocket",ME,39,2820.46,72.319487
"Ridley Park",PA,39,2017.41,51.728462
Seneca,KS,39,2312.32,59.290256
Tishomingo,OK,39,2373.31,60.854103
Tiverton,RI,39,1250.46,32.063077
Trevor,WI,39,425.48,10.909744
Upland,CA,39,929.01,23.820769
Wadesboro,NC,39,1301.19,33.363846
"Wake Forest",NC,39,2896.26,74.263077
Walker,LA,39,1228.41,31.497692
Wilber,NE,39,1106.15,28.362821
Willsboro,NY,39,191.97,4.922308
Winnemucca,NV,39,1163.11,29.823333
Wurtsboro,NY,39,300.21,7.697692
Gering,NE,39,1158.43,29.703333
"Gibson City",IL,39,985.91,25.279744
"Glen Head",NY,39,2574.25,66.006410
Granville,PA,39,2229.14,57.157436
"Hannawa Falls",NY,39,2346.04,60.154872
"Honey Grove",TX,39,1385.92,35.536410
Indianola,MS,39,2680.00,68.717949
"La Plata",MD,39,1225.37,31.419744
Magnolia,TX,39,2700.92,69.254359
Mannford,OK,39,1697.59,43.527949
Mondovi,WI,39,1276.76,32.737436
"Mount Gilead",OH,39,1274.11,32.669487
Noxapater,MS,39,462.59,11.861282
"Oregon City",OR,39,986.57,25.296667
Oslo,Norway,39,1142.85,29.303846
Petoskey,MI,39,746.61,19.143846
Portersville,PA,39,1283.60,32.912821
"Los Alamitos",CA,38,1416.87,37.286053
Mabelvale,AR,38,2216.19,58.320789
Marysville,MI,38,2214.27,58.270263
"Mount Clare",WV,38,1628.04,42.843158
Murrayville,GA,38,1513.95,39.840789
"New Castle",PA,38,2630.98,69.236316
"Northfield Falls",VT,38,1594.23,41.953421
Papillion,NE,38,2372.96,62.446316
"Park Hills",MO,38,1257.55,33.093421
Pitman,NJ,38,383.52,10.092632
Redan,GA,38,1849.65,48.675000
Ringgold,GA,38,971.56,25.567368
Rowland,NC,38,3869.51,101.829211
Sanibel,FL,38,1543.10,40.607895
"Santa Clara",UT,38,530.71,13.966053
"South Mills",NC,38,1379.81,36.310789
Tarzana,CA,38,872.76,22.967368
Tegucigalpa,Honduras,38,2172.63,57.174474
"Tinley Park",IL,38,815.98,21.473158
Waterville,OH,38,865.38,22.773158
Wayne,WV,38,1527.72,40.203158
Winnsboro,SC,38,2712.81,71.389737
Woodbridge,NJ,38,1037.74,27.308947
Woodhaven,NY,38,1349.14,35.503684
Astoria,OR,38,1197.44,31.511579
"Bay City",TX,38,3289.24,86.558947
Bristol,VA,38,3062.31,80.587105
"California City",CA,38,4223.67,111.149211
"Cedar Grove",NJ,38,1603.70,42.202632
Cleveland,TX,38,2437.24,64.137895
Cockeysville,MD,38,1237.32,32.561053
Columbus,IN,38,1113.40,29.300000
Conway,NH,38,1489.40,39.194737
Dothan,AL,38,1358.47,35.749211
Espanola,NM,38,899.73,23.677105
"Fergus Falls",MN,38,2035.39,53.562895
"Fort Recovery",OH,38,2482.41,65.326579
Galveston,TX,38,3475.15,91.451316
Gobles,MI,38,987.25,25.980263
Holliston,MA,38,750.39,19.747105
Jupiter,FL,38,1744.96,45.920000
Kent,CT,38,2638.88,69.444211
"Lake Jackson",TX,38,1645.37,43.299211
Enid,OK,37,961.19,25.978108
"Fort Payne",AL,37,1141.54,30.852432
"Hoosick Falls",NY,37,1322.08,35.731892
Hudson,FL,37,2669.35,72.144595
Killingworth,CT,37,1298.00,35.081081
"King Of Prussia",PA,37,1463.86,39.563784
"Saint Helena",CA,37,619.41,16.740811
"Sao Paolo",Brazil,37,957.38,25.875135
"Seneca Falls",NY,37,1258.99,34.026757
Shingletown,CA,37,1243.34,33.603784
Silverton,OR,37,1231.00,33.270270
Spurlockville,WV,37,1778.83,48.076486
Stanchfield,MN,37,1307.35,35.333784
Tenafly,NJ,37,1860.27,50.277568
Torrington,CT,37,2264.46,61.201622
"West Harrison",IN,37,3960.00,107.027027
Whiteland,IN,37,6239.19,168.626757
Wilbur,WA,37,1075.83,29.076486
Mamou,LA,37,10811.45,292.201351
Media,PA,37,4952.74,133.857838
Miamisburg,OH,37,2781.87,75.185676
Nabb,IN,37,1137.90,30.754054
"New Lebanon",OH,37,1320.95,35.701351
Norristown,PA,37,2504.39,67.686216
"Oak Park",MI,37,909.22,24.573514
Oakland,MI,37,2385.52,64.473514
"Old Hickory",TN,37,2381.86,64.374595
Pearl,MS,37,3380.66,91.369189
Peyton,CO,37,460.87,12.455946
"Port Angeles",WA,37,3463.85,93.617568
Princeton,MN,37,606.54,16.392973
Alburnett,IA,37,5630.26,152.169189
Attleboro,MA,37,1084.66,29.315135
Bridgeport,CT,37,1506.64,40.720000
Buford,GA,37,1813.25,49.006757
Cadiz,KY,37,2242.19,60.599730
Central,SC,37,1811.61,48.962432
Chillicothe,MO,37,1171.26,31.655676
Decatur,IN,37,1296.83,35.049459
"Defuniak Springs",FL,37,1183.72,31.992432
Alexandria,KY,36,1324.24,36.784444
Angie,LA,36,729.45,20.262500
Artesia,CA,36,2947.73,81.881389
Asheboro,NC,36,1767.22,49.089444
Athens,GA,36,2120.22,58.895000
Auburn,IN,36,2064.36,57.343333
"Bunker Hill",WV,36,497.00,13.805556
Catoosa,OK,36,2987.10,82.975000
Cement,OK,36,1416.98,39.360556
"Central Falls",RI,36,2450.84,68.078889
Chelsea,AL,36,1180.51,32.791944
Clearfield,PA,36,3691.03,102.528611
Clive,IA,36,1141.20,31.700000
"Cocoa Beach",FL,36,1444.23,40.117500
"Del Valle",TX,36,9413.92,261.497778
Dickson,TN,36,1137.23,31.589722
Eagar,AZ,36,1151.29,31.980278
Salem,MO,36,1529.03,42.473056
Seward,NE,36,5580.89,155.024722
Shelocta,PA,36,601.00,16.694444
Smithville,MO,36,1546.36,42.954444
Snowmass,CO,36,12395.50,344.319444
"Spanish Fork",UT,36,1332.23,37.006389
"Teec Nos Pos",AZ,36,1336.23,37.117500
Troy,NY,36,1641.83,45.606389
Vacherie,LA,36,439.33,12.203611
Wardensville,WV,36,2177.08,60.474444
"West Babylon",NY,36,3007.25,83.534722
Westpoint,IN,36,1826.48,50.735556
"White Lake",MI,36,875.49,24.319167
Wildomar,CA,36,3146.64,87.406667
Williamsburg,IA,36,2844.83,79.023056
"East Setauket",NY,36,2560.62,71.128333
Errol,NH,36,1453.86,40.385000
Filion,MI,36,1920.52,53.347778
Forest,OH,36,473.23,13.145278
"Granite Bay",CA,36,1469.68,40.824444
Gurnee,IL,36,837.40,23.261111
Lee,IL,36,2840.60,78.905556
Lobeco,SC,36,1514.42,42.067222
Maitland,FL,36,1587.71,44.103056
